list_name,name,label,Type,GrowthHabitSub,Duration,Foliar,fulllist
PlantsList,GOOB2,GOOB2    Goodyera oblongifolia Raf.    western rattlesnake plantain,NonWoody,Forb,Perennial,Y,Y
PlantsList,GRFA,GRFA    Grindelia fastigiata Greene    pointed gumweed,NonWoody,Forb,Perennial,Y,Y
PlantsList,GRIN2,GRIN2    Grindelia inornata Greene    Colorado gumweed,NonWoody,Forb,Perennial,Y,Y
PlantsList,GRIND,GRIND    Grindelia Willd.    gumweed,NonWoody,Forb,Perennial,Y,Y
PlantsList,GRNU,GRNU    Grindelia nuda Alph. Wood     curlytop gumweed,NonWoody,Forb,Perennial,Y,Y
PlantsList,GRPA8,GRPA8    Grindelia papposa G.L. Nesom & Suh    Spanish gold,NonWoody,Forb,Annual,Y,Y
PlantsList,GRRE,GRRE    Grindelia revoluta Steyerm.    rolled gumweed,NonWoody,Forb,Annual,Y,Y
PlantsList,GRSP,GRSP    Grayia spinosa    Spiny hopsage,Woody,Shrub,Perennial,Y,Y
PlantsList,GRSQ,GRSQ    Grindelia squarrosa (Pursh) Dunal    curlycup gumweed,NonWoody,Forb,Perennial,Y,Y
PlantsList,GRSQS2,GRSQS2    Grindelia squarrosa (Pursh) Dunal var. squarrosa    curlycup gumweed,NonWoody,Forb,Annual,Y,Y
PlantsList,GUDI3,GUDI3    Gutierrezia diversifolia    broom snakeweed,Woody,SubShrub,Perennial,Y,Y
PlantsList,GUER2,GUER2    Gutierrezia eriocarpa    roundleaf snakeweed,NonWoody,Forb,Annual,Y,Y
PlantsList,GUGL5,GUGL5    Gutierrezia glomerella    threadleaf snakeweed,Woody,SubShrub,Perennial,Y,Y
PlantsList,GULA4,GULA4    Caulanthus lasiophyllus    California mustard,NonWoody,Forb,Annual,Y,Y
PlantsList,GULE,GULE    Gutierrezia lepidota    broom snakeweed,Woody,SubShrub,Perennial,Y,Y
PlantsList,GULI2,GULI2    Gutierrezia linearifolia    broom snakeweed,Woody,SubShrub,Perennial,Y,Y
PlantsList,GULI3,GULI3    Gutierrezia linearis    broom snakeweed,Woody,SubShrub,Perennial,Y,Y
PlantsList,GULI4,GULI4    Gutierrezia linoides    broom snakeweed,Woody,SubShrub,Perennial,Y,Y
