"Accepted Symbol","Synonym Symbol","Scientific Name","Family","Duration","Growth Habit","Native Status"
"BAVU","","Barbarea vulgaris","Brassicaceae","Biennial","Forb/herb","L48(I)CAN(I)GL(I)SPM(I)"
"BARBU2","","Barbula","Pottiaceae","","","NA(N)"
"BASSI","","Bassia","Chenopodiaceae","","","L48(I,N)CAN(I)"
"BAAM4","","Bassia americana","Chenopodiaceae","Perennial","Subshrub","L48(N)"
"BAHY","","Bassia hyssopifolia","Chenopodiaceae","Annual","Forb/herb","L48(I)HI(I)CAN(I)"
"BAPR5","","Bassia prostrata","Chenopodiaceae","Perennial","Subshrub","L48(I)"
"BASC5","","Bassia scoparia","Chenopodiaceae","Annual","Forb/herb","L48(I)CAN(I)"
"BECKM","","Beckmannia","Poaceae","","","L48(N)CAN(N)GL(N)"
"BESY","","Beckmannia syzigachne","Poaceae","Annual","Graminoid","L48(N)AK(N)CAN(N)GL(N)"
"BERBE","","Berberis","Berberidaceae","","","L48(I,N)CAN(I,N)"
"BEFE","","Berberis fendleri","Berberidaceae","Perennial","Shrub","L48(N)"
"BEVU","","Berberis vulgaris","Berberidaceae","Perennial","Shrub","L48(I)CAN(I)"
"BERGI","","Bergia","Elatinaceae","","","L48(N)"
"BETE","","Bergia texana","Elatinaceae","Annual, Perennial","Forb/herb","L48(N)"
"BERLA","","Berlandiera","Asteraceae","","","L48(N)"
"BELY","","Berlandiera lyrata","Asteraceae","Perennial","Forb/herb","L48(N)"
"BERTE","","Berteroa","Brassicaceae","","","L48(I)CAN(I)"
"BEIN2","","Berteroa incana","Brassicaceae","Annual, Biennial, Perennial","Forb/herb","L48(I)AK(I)CAN(I)"
"BERUL","","Berula","Apiaceae","","","L48(N)CAN(N)"
"BEER","","Berula erecta","Apiaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"BESSE","","Besseya","Scrophulariaceae","","","L48(N)CAN(N)"
"BEAL","","Besseya alpina","Scrophulariaceae","Perennial","Forb/herb","L48(N)"
"BEPL","","Besseya plantaginea","Scrophulariaceae","Perennial","Forb/herb","L48(N)"
"BERI","","Besseya ritteriana","Scrophulariaceae","Perennial","Forb/herb","L48(N)"
"BEWY","","Besseya wyomingensis","Scrophulariaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"BETUL","","Betula","Betulaceae","","","L48(I,N)CAN(I,N)GL(N)SPM(N)"
"BEEA","","Betula ×eastwoodiae","Betulaceae","Perennial","Tree","L48(N)AK(N)CAN(N)"
"BEUT","","Betula ×utahensis","Betulaceae","Perennial","Tree, Shrub","L48(N)CAN(N)"
"BEGL","","Betula glandulosa","Betulaceae","Perennial","Shrub, Subshrub","L48(N)AK(N)CAN(N)GL(N)"
"BENA","","Betula nana","Betulaceae","Perennial","Shrub, Subshrub","L48(N)AK(N)CAN(N)GL(N)"
"BEOC2","","Betula occidentalis","Betulaceae","Perennial","Tree, Shrub","L48(N)AK(N)CAN(N)"
"BEPA","","Betula papyrifera","Betulaceae","Perennial","Tree","L48(N)AK(N)CAN(N)SPM(N)"
"BEPAP","","Betula papyrifera var. papyrifera","Betulaceae","Perennial","Tree","L48(N)AK(N)CAN(N)SPM(N)"
"BEPE3","","Betula pendula","Betulaceae","Perennial","Tree","L48(I)CAN(I)"
"BIDEN","","Bidens","Asteraceae","","","L48(I,N)CAN(I,N)"
"BIAR","","Bidens aristosa","Asteraceae","Biennial, AN","Forb/herb","L48(N)CAN(I)"
"BIBI","","Bidens bigelovii","Asteraceae","Annual","Forb/herb","L48(N)"
"BIBIB2","","Bidens bigelovii var. bigelovii","Asteraceae","Annual","Forb/herb","L48(N)"
"BIBI7","","Bidens bipinnata","Asteraceae","Annual","Forb/herb","L48(N)CAN(I)"
"BICE","","Bidens cernua","Asteraceae","Annual","Forb/herb","L48(N)AK(I)CAN(N)"
"BIFR","","Bidens frondosa","Asteraceae","Annual","Forb/herb","L48(N)AK(I)CAN(I)"
"BITE","","Bidens tenuisecta","Asteraceae","Annual","Forb/herb","L48(N)"
"BITR","","Bidens tripartita","Asteraceae","Annual","Forb/herb","L48(N)AK(N)CAN(N)"
"BIVU","","Bidens vulgata","Asteraceae","Annual","Forb/herb","L48(N)CAN(N)"
"BLEPH4","","Blepharoneuron","Poaceae","","","L48(N)"
"BLTR","","Blepharoneuron tricholepis","Poaceae","Perennial","Graminoid","L48(N)"
"BOERH2","","Boerhavia","Nyctaginaceae","","","L48(N)"
"BOER","","Boerhavia erecta","Nyctaginaceae","Annual, Perennial","Forb/herb","L48(N)PR(N)VI(N)"
"BOLBO","","Bolboschoenus","Cyperaceae","","","CAN(I,N)SPM(I,N)NA(I,N)"
"BOFL3","","Bolboschoenus fluviatilis","Cyperaceae","Perennial","Graminoid","L48(N)CAN(N)"
"BOMA7","","Bolboschoenus maritimus","Cyperaceae","Perennial","Graminoid","L48(N)AK(N)HI(N)CAN(N)SPM(I)"
"BOMAP4","","Bolboschoenus maritimus ssp. paludosus","Cyperaceae","Perennial","Graminoid","L48(N)AK(N)HI(N)CAN(N)"
"BOTHR","","Bothriochloa","Poaceae","","","L48(I,N)"
"BOBA3","","Bothriochloa barbinodis","Poaceae","Perennial","Graminoid","L48(N)HI(I)"
"BOBL","","Bothriochloa bladhii","Poaceae","Perennial","Graminoid","L48(I)HI(I)"
"BOIS","","Bothriochloa ischaemum","Poaceae","Perennial","Graminoid","L48(I)PR(I)VI(I)"
"BOISS","","Bothriochloa ischaemum var. songarica","Poaceae","Perennial","Graminoid","L48(I)PR(I)VI(I)"
"BOLA2","","Bothriochloa laguroides","Poaceae","Perennial","Graminoid","L48(I,N)HI(I)"
"BOLAT","","Bothriochloa laguroides ssp. torreyana","Poaceae","Perennial","Graminoid","L48(N)"
"BOSP3","","Bothriochloa springfieldii","Poaceae","Perennial","Graminoid","L48(N)"
"BOTRY","","Botrychium","Ophioglossaceae","","","L48(N)CAN(N)GL(N)SPM(N)"
"BOCA5","","Botrychium campestre","Ophioglossaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"BOEC","","Botrychium echo","Ophioglossaceae","Perennial","Forb/herb","L48(N)"
"BOHE5","","Botrychium hesperium","Ophioglossaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"BOLA","","Botrychium lanceolatum","Ophioglossaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)GL(N)SPM(N)"
"BOLAL","","Botrychium lanceolatum var. lanceolatum","Ophioglossaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)GL(N)"
"BOLI7","","Botrychium lineare","Ophioglossaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"BOLU","","Botrychium lunaria","Ophioglossaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)GL(N)SPM(N)"
"BOMI","","Botrychium minganense","Ophioglossaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"BOMU","","Botrychium multifidum","Ophioglossaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)GL(N)SPM(N)"
"BOPA12","","Botrychium pallidum","Ophioglossaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"BOPI","","Botrychium pinnatum","Ophioglossaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)GL(N)"
"BOSI","","Botrychium simplex","Ophioglossaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)GL(N)"
"BOVI","","Botrychium virginianum","Ophioglossaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"BOUTE","","Bouteloua","Poaceae","","","L48(I,N)CAN(N)"
"BOBA2","","Bouteloua barbata","Poaceae","Annual","Graminoid","L48(N)"
"BOCU","","Bouteloua curtipendula","Poaceae","Perennial","Graminoid","L48(N)HI(I)CAN(N)"
"BOCUC","","Bouteloua curtipendula var. caespitosa","Poaceae","Perennial","Graminoid","L48(N)"
"BOCUC2","","Bouteloua curtipendula var. curtipendula","Poaceae","Perennial","Graminoid","L48(N)HI(I)CAN(N)"
"BODA2","","Bouteloua dactyloides","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"BOER4","","Bouteloua eriopoda","Poaceae","Perennial","Graminoid","L48(N)"
"BOGR2","","Bouteloua gracilis","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"BOHI2","","Bouteloua hirsuta","Poaceae","Perennial","Graminoid","L48(N)"
"BOHIH","","Bouteloua hirsuta var. hirsuta","Poaceae","Perennial","Graminoid","L48(N)"
"BOSI2","","Bouteloua simplex","Poaceae","Annual","Graminoid","L48(N)"
"BRACH3","","Brachypodium","Poaceae","","","L48(I)"
"BRDI2","","Brachypodium distachyon","Poaceae","Annual","Graminoid","L48(I)HI(I)"
"BRASS2","","Brassica","Brassicaceae","","","L48(I)CAN(I,W)GL(I,W)"
"BREL2","","Brassica elongata","Brassicaceae","Perennial","Forb/herb","L48(I)"
"BRJU","","Brassica juncea","Brassicaceae","Annual, Perennial","Forb/herb","L48(I)AK(I)HI(I)PR(I)VI(I)CAN(I)"
"BRNA","","Brassica napus","Brassicaceae","Annual, Biennial","Forb/herb","L48(I)AK(I)CAN(I)GL(I)"
"BRNI","","Brassica nigra","Brassicaceae","Annual","Forb/herb","L48(I)HI(I)CAN(I)"
"BRRA","","Brassica rapa","Brassicaceae","Annual, Biennial","Forb/herb","L48(I)AK(I)HI(I)CAN(I)GL(I)"
"BRRAR","","Brassica rapa var. rapa","Brassicaceae","Biennial, AN","Forb/herb","L48(I)AK(I)CAN(I)GL(I)"
"BRAYA","","Braya","Brassicaceae","","","L48(N)CAN(N)GL(N)"
"BRGL","","Braya glabella","Brassicaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)GL(N)"
"BRGLG","","Braya glabella ssp. glabella","Brassicaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)GL(N)"
"BRICK","","Brickellia","Asteraceae","","","L48(N)CAN(N)"
"BRBR2","","Brickellia brachyphylla","Asteraceae","Perennial","Subshrub, Forb/herb","L48(N)"
"BRCA3","","Brickellia californica","Asteraceae","Perennial","Subshrub, Shrub","L48(N)"
"BRCAC","","Brickellia californica var. californica","Asteraceae","Perennial","Subshrub, Shrub","L48(N)"
"BREU","","Brickellia eupatorioides","Asteraceae","Perennial","Subshrub, Forb/herb","L48(N)"
"BREUC2","","Brickellia eupatorioides var. chlorolepis","Asteraceae","Perennial","Subshrub, Forb/herb","L48(N)"
"BREUC","","Brickellia eupatorioides var. corymbulosa","Asteraceae","Perennial","Forb/herb, Subshrub","L48(N)"
"BRGR","","Brickellia grandiflora","Asteraceae","Perennial","Subshrub, Forb/herb","L48(N)CAN(N)"
"BRLO","","Brickellia longifolia","Asteraceae","Perennial","Subshrub, Shrub","L48(N)"
"BRLOL3","","Brickellia longifolia var. longifolia","Asteraceae","Perennial","Shrub","L48(N)"
"BRMI","","Brickellia microphylla","Asteraceae","Perennial","Subshrub, Shrub","L48(N)"
"BRMIS","","Brickellia microphylla var. scabra","Asteraceae","Perennial","Shrub, Subshrub","L48(N)"
"BROB","","Brickellia oblongifolia","Asteraceae","Perennial","Subshrub, Shrub, Forb/herb","L48(N)CAN(N)"
"BROBL","","Brickellia oblongifolia var. linifolia","Asteraceae","Perennial","Subshrub, Forb/herb, Shrub","L48(N)"
"BRIZA","","Briza","Poaceae","","","L48(I)CAN(I,W)"
"BRMA","","Briza maxima","Poaceae","Annual","Graminoid","L48(I)HI(I)CAN(I)"
"BRME","","Briza media","Poaceae","Perennial","Graminoid","L48(I)CAN(W)"
"BROMU","","Bromus","Poaceae","","","L48(I,N)GL(I)SPM(I,N)"
"BRAR5","","Bromus arvensis","Poaceae","Annual","Graminoid","L48(I)CAN(I)"
"BRBR5","","Bromus briziformis","Poaceae","Annual","Graminoid","L48(I)AK(I)CAN(I)"
"BRCA5","","Bromus carinatus","Poaceae","Annual, Perennial","Graminoid","L48(N)AK(I)CAN(N)"
"BRCA6","","Bromus catharticus","Poaceae","Perennial, AN","Graminoid","L48(I)HI(I)CAN(I)"
"BRCI2","","Bromus ciliatus","Poaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)SPM(N)"
"BRCIC3","","Bromus ciliatus var. ciliatus","Poaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)SPM(N)"
"BRCIR","","Bromus ciliatus var. richardsonii","Poaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)"
"BRDI3","","Bromus diandrus","Poaceae","Annual, Perennial","Graminoid","L48(I)HI(I)CAN(I)"
"BRDIR","","Bromus diandrus ssp. rigidus","Poaceae","Perennial, AN","Graminoid","L48(I)HI(I)CAN(I)"
"BRFR2","","Bromus frondosus","Poaceae","Perennial","Graminoid","L48(N)"
"BRHO2","","Bromus hordeaceus","Poaceae","Annual","Graminoid","L48(I)AK(I)HI(I)CAN(I)GL(I)SPM(I)"
"BRHOH","","Bromus hordeaceus ssp. hordeaceus","Poaceae","Annual","Graminoid","L48(I)AK(I)HI(I)CAN(I)GL(I)SPM(I)"
"BRIN2","","Bromus inermis","Poaceae","Perennial","Graminoid","L48(I,N)AK(NI)CAN(NI)GL(I)SPM(I)"
"BRINI","","Bromus inermis ssp. inermis","Poaceae","Perennial","Graminoid","L48(I)AK(I)CAN(I)GL(I)SPM(I)"
"BRINI2","","Bromus inermis ssp. inermis var. inermis","Poaceae","Perennial","Graminoid","L48(I)AK(I)CAN(I)GL(I)SPM(I)"
"BRINP","","Bromus inermis ssp. pumpellianus","Poaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)SPM(N)"
"BRINP5","","Bromus inermis ssp. pumpellianus var. pumpellianus","Poaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)SPM(N)"
"BRLA6","","Bromus lanatipes","Poaceae","Perennial","Graminoid","L48(N)"
"BRMA4","","Bromus marginatus","Poaceae","Perennial","Graminoid","L48(N)AK(I?)CAN(N)"
"BRPO","","Bromus polyanthus","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"BRPOP","","Bromus polyanthus var. paniculatus","Poaceae","Perennial","Graminoid","L48(N)"
"BRPOP2","","Bromus polyanthus var. polyanthus","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"BRPO2","","Bromus porteri","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"BRPU6","","Bromus pubescens","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"BRRA2","","Bromus racemosus","Poaceae","Annual","Graminoid","L48(I)AK(I)CAN(I)"
"BRSE","","Bromus secalinus","Poaceae","Annual","Graminoid","L48(I)AK(I)HI(I)CAN(I)"
"BRSES","","Bromus secalinus var. secalinus","Poaceae","Annual","Graminoid","L48(I)AK(I)HI(I)CAN(I)"
"BRSQ2","","Bromus squarrosus","Poaceae","Annual","Graminoid","L48(I)HI(I)CAN(I)"
"BRST2","","Bromus sterilis","Poaceae","Annual","Graminoid","L48(I)HI(I)CAN(I)"
"BRTE","","Bromus tectorum","Poaceae","Annual","Graminoid","L48(I)AK(I)HI(I)CAN(I)GL(I)"
"BUGLO","","Buglossoides","Boraginaceae","","","L48(I)CAN(I)"
"BUAR3","","Buglossoides arvensis","Boraginaceae","Annual","Forb/herb","L48(I)CAN(I)"
"BUPLE","","Bupleurum","Apiaceae","","","L48(I,N)"
"BUAM2","","Bupleurum americanum","Apiaceae","Annual","Forb/herb","L48(N)AK(N)CAN(N)"
"CALAM","","Calamagrostis","Poaceae","","","L48(I,N)CAN(I,N)GL(N)SPM(N)"
"CACA4","","Calamagrostis canadensis","Poaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)GL(N)SPM(N)"
"CACAC10","","Calamagrostis canadensis var. canadensis","Poaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)SPM(N)"
"CACAL3","","Calamagrostis canadensis var. langsdorffii","Poaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)GL(N)"
"CAMO","","Calamagrostis montanensis","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"CAPU","","Calamagrostis purpurascens","Poaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)GL(N)"
"CAPUP7","","Calamagrostis purpurascens var. purpurascens","Poaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)GL(N)"
"CARU","","Calamagrostis rubescens","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"CASC","","Calamagrostis scopulorum","Poaceae","Perennial","Graminoid","L48(N)"
"CAST36","","Calamagrostis stricta","Poaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)GL(N)SPM(N)"
"CASTI3","","Calamagrostis stricta ssp. inexpansa","Poaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)GL(N)SPM(N)"
"CASTS5","","Calamagrostis stricta ssp. stricta","Poaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)GL(N)"
"CASTS8","","Calamagrostis stricta ssp. stricta var. stricta","Poaceae","Perennial","Graminoid","L48(N)AK(N)"
"CALAM2","","Calamovilfa","Poaceae","","","L48(N)CAN(N)"
"CAGI3","","Calamovilfa gigantea","Poaceae","Perennial","Graminoid","L48(N)"
"CALO","","Calamovilfa longifolia","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"CALOL2","","Calamovilfa longifolia var. longifolia","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"CALIB","","Calibrachoa","Solanaceae","","","L48(I)"
"CAPA47","","Calibrachoa parviflora","Solanaceae","Annual","Forb/herb","L48(I)"
"CALLI3","","Callirhoe","Malvaceae","","","L48(N)"
"CAAL","","Callirhoe alcaeoides","Malvaceae","Perennial","Forb/herb","L48(N)"
"CAIN2","","Callirhoe involucrata","Malvaceae","Perennial","Forb/herb","L48(N)"
"CAINI4","","Callirhoe involucrata var. involucrata","Malvaceae","Perennial","Forb/herb","L48(N)"
"CAINL","","Callirhoe involucrata var. lineariloba","Malvaceae","Perennial","Forb/herb","L48(N)"
"CALLI6","","Callitriche","Callitrichaceae","","","L48(I,N)CAN(I,N)GL(N)SPM(I,N)"
"CAHE2","","Callitriche hermaphroditica","Callitrichaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)GL(N)"
"CAHE3","","Callitriche heterophylla","Callitrichaceae","Annual, Perennial","Forb/herb","L48(N)AK(N)CAN(N)GL(N)"
"CAHEH","","Callitriche heterophylla ssp. heterophylla","Callitrichaceae","Annual, Perennial","Forb/herb","L48(N)AK(N)CAN(N)GL(N)"
"CAPA52","","Callitriche palustris","Callitrichaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)GL(N)SPM(N)"
"CAST11","","Callitriche stenoptera","Callitrichaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"CALOC","","Calochortus","Liliaceae","","","L48(N)CAN(N)"
"CAAU8","","Calochortus aureus","Liliaceae","Perennial","Forb/herb","L48(N)"
"CAFL","","Calochortus flexuosus","Liliaceae","Perennial","Vine, Forb/herb","L48(N)"
"CAGU","","Calochortus gunnisonii","Liliaceae","Perennial","Forb/herb","L48(N)"
"CAGUG","","Calochortus gunnisonii var. gunnisonii","Liliaceae","Perennial","Forb/herb","L48(N)"
"CANU3","","Calochortus nuttallii","Liliaceae","Perennial","Forb/herb","L48(N)"
"CALOP7","","Caloplaca","Teloschistaceae","","","NA(N)"
"CALTH","","Caltha","Ranunculaceae","","","L48(N)CAN(N)"
"CALE4","","Caltha leptosepala","Ranunculaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"CALEH2","","Caltha leptosepala ssp. howellii","Ranunculaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"CALEL7","","Caltha leptosepala ssp. leptosepala","Ranunculaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"CALEL8","","Caltha leptosepala ssp. leptosepala var. leptosepala","Ranunculaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"CALYL","","Calylophus","Onagraceae","","","L48(N)CAN(N)"
"CABE6","","Calylophus berlandieri","Onagraceae","Perennial","Subshrub, Forb/herb","L48(N)"
"CABEB2","","Calylophus berlandieri ssp. berlandieri","Onagraceae","Perennial","Subshrub, Forb/herb","L48(N)"
"CAHA14","","Calylophus hartwegii","Onagraceae","Perennial","Forb/herb, Subshrub","L48(N)"
"CAHAF","","Calylophus hartwegii ssp. fendleri","Onagraceae","Perennial","Forb/herb, Subshrub","L48(N)"
"CAHAP","","Calylophus hartwegii ssp. pubescens","Onagraceae","Perennial","Forb/herb, Subshrub","L48(N)"
"CALA38","","Calylophus lavandulifolius","Onagraceae","Perennial","Subshrub, Forb/herb","L48(N)"
"CASE12","","Calylophus serrulatus","Onagraceae","Perennial","Subshrub, Forb/herb","L48(N)CAN(N)"
"CALYP","","Calypso","Orchidaceae","","","L48(N)CAN(N)"
"CABU","","Calypso bulbosa","Orchidaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"CABUA","","Calypso bulbosa var. americana","Orchidaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"CALYS","","Calystegia","Convolvulaceae","","","L48(I,N)CAN(I,N)SPM(I)"
"CAMA23","","Calystegia macounii","Convolvulaceae","Perennial","Forb/herb, Vine","L48(N)"
"CASE13","","Calystegia sepium","Convolvulaceae","Perennial","Forb/herb, Vine","L48(I,N)AK(I)CAN(N)SPM(I)"
"CASEA2","","Calystegia sepium ssp. americana","Convolvulaceae","Perennial","Forb/herb, Vine","L48(N)CAN(N)SPM(I)"
"CASEA3","","Calystegia sepium ssp. angulata","Convolvulaceae","Perennial","Vine, Forb/herb","L48(N)CAN(N)"
"CASI10","","Calystegia silvatica","Convolvulaceae","Perennial","Vine, Forb/herb","L48(I,N)CAN(N)"
"CASIF","","Calystegia silvatica ssp. fraterniflora","Convolvulaceae","Perennial","Vine, Forb/herb","L48(N)CAN(N)"
"CAMEL","","Camelina","Brassicaceae","","","L48(I)CAN(I,W)"
"CAMI2","","Camelina microcarpa","Brassicaceae","Biennial, AN","Forb/herb","L48(I)CAN(I)"
"CARU15","","Camelina rumelica","Brassicaceae","Annual","Forb/herb","L48(I)"
"CAMIS","","Camissonia","Onagraceae","","","L48(N)CAN(N)"
"CAAN14","","Camissonia andina","Onagraceae","Annual","Forb/herb","L48(N)CAN(N)"
"CABR22","","Camissonia breviflora","Onagraceae","Perennial","Forb/herb","L48(N)CAN(N)"
"CAEA","","Camissonia eastwoodiae","Onagraceae","Annual","Forb/herb","L48(N)"
"CAMI23","","Camissonia minor","Onagraceae","Annual","Forb/herb","L48(N)"
"CAPA39","","Camissonia parvula","Onagraceae","Annual","Forb/herb","L48(N)"
"CASC18","","Camissonia scapoidea","Onagraceae","Annual","Forb/herb","L48(N)"
"CASCS3","","Camissonia scapoidea ssp. scapoidea","Onagraceae","Annual","Forb/herb","L48(N)"
"CASU18","","Camissonia subacaulis","Onagraceae","Perennial","Forb/herb","L48(N)"
"CAWA3","","Camissonia walkeri","Onagraceae","Annual, Perennial","Forb/herb","L48(N)"
"CAWAW2","","Camissonia walkeri ssp. walkeri","Onagraceae","Annual, Perennial","Forb/herb","L48(N)"
"CAMPA","","Campanula","Campanulaceae","","","L48(I,N)CAN(I,N)GL(N)SPM(N)"
"CAAP2","","Campanula aparinoides","Campanulaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"CAGL2","","Campanula glomerata","Campanulaceae","Perennial","Forb/herb","L48(I)AK(I)CAN(I)"
"CAPA10","","Campanula parryi","Campanulaceae","Perennial","Forb/herb","L48(N)"
"CAPAP2","","Campanula parryi var. parryi","Campanulaceae","Perennial","Forb/herb","L48(N)"
"CARA","","Campanula rapunculoides","Campanulaceae","Perennial","Forb/herb","L48(I)AK(I)CAN(I)"
"CARO2","","Campanula rotundifolia","Campanulaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)GL(N)SPM(N)"
"CAUN2","","Campanula uniflora","Campanulaceae","Perennial","Subshrub, Forb/herb","L48(N)AK(N)CAN(N)GL(N)"
"CAMPS","","Campsis","Bignoniaceae","","","L48(N)CAN(N)"
"CARA2","","Campsis radicans","Bignoniaceae","Perennial","Vine","L48(N)CAN(N)"
"CANNA","","Cannabis","Cannabaceae","","","L48(I)CAN(I)"
"CASA3","","Cannabis sativa","Cannabaceae","Annual","Forb/herb","L48(I)HI(I)PR(I)CAN(I)"
"CASAS3","","Cannabis sativa ssp. sativa","Cannabaceae","Annual","Forb/herb","L48(I)PR(I)CAN(I)"
"CASAS9","","Cannabis sativa ssp. sativa var. sativa","Cannabaceae","Annual","Forb/herb","L48(I)PR(I)CAN(I)"
"CAPSE","","Capsella","Brassicaceae","","","L48(I)CAN(I)GL(I)SPM(I)"
"CABU2","","Capsella bursa-pastoris","Brassicaceae","Annual","Forb/herb","L48(I)AK(I)HI(I)CAN(I)GL(I)SPM(I)"
"CARAG","","Caragana","Fabaceae","","","L48(I)CAN(I)"
"CAAR18","","Caragana arborescens","Fabaceae","Perennial","Tree, Shrub","L48(I)AK(I)CAN(I)"
"CAAU10","","Caragana aurantiaca","Fabaceae","Perennial","Shrub","L48(I)"
"CARDA","","Cardamine","Brassicaceae","","","L48(I,N)CAN(I,N)GL(N)SPM(N)"
"CABR6","","Cardamine breweri","Brassicaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"CABRB","","Cardamine breweri var. breweri","Brassicaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"CABRL","","Cardamine breweri var. leibergii","Brassicaceae","Perennial","Forb/herb","L48(N)"
"CACO6","","Cardamine cordifolia","Brassicaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"CACOC","","Cardamine cordifolia var. cordifolia","Brassicaceae","Perennial","Forb/herb","L48(N)"
"CACOI","","Cardamine cordifolia var. incana","Brassicaceae","Perennial","Forb/herb","L48(N)"
"CAOL","","Cardamine oligosperma","Brassicaceae","Annual, Biennial, Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"CAOLO","","Cardamine oligosperma var. oligosperma","Brassicaceae","Biennial, AN","Forb/herb","L48(N)CAN(N)"
"CAPE3","","Cardamine pensylvanica","Brassicaceae","Annual, Perennial, Biennial","Forb/herb","L48(N)AK(N)CAN(N)SPM(N)"
"CARDA2","","Cardaria","Brassicaceae","","","L48(I)CAN(I)"
"CACH42","","Cardaria chalepensis","Brassicaceae","Perennial","Shrub","L48(I)CAN(I)"
"CADR","","Cardaria draba","Brassicaceae","Perennial","Forb/herb","L48(I)CAN(I)"
"CAPU6","","Cardaria pubescens","Brassicaceae","Perennial","Forb/herb","L48(I)CAN(I)"
"CARDU","","Carduus","Asteraceae","","","L48(I)CAN(I)"
"CAAC","","Carduus acanthoides","Asteraceae","Biennial","Forb/herb","L48(I)CAN(I)"
"CANU4","","Carduus nutans","Asteraceae","Biennial, Perennial","Forb/herb","L48(I)CAN(I)"
"CAREX","","Carex","Cyperaceae","","","L48(I,N)GL(N)SPM(I,N)"
"CAPH3","","Carex ×physocarpoides","Cyperaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)"
"CAAL6","","Carex albonigra","Cyperaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)"
"CAAQ","","Carex aquatilis","Cyperaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)GL(N)SPM(N)"
"CAAQA","","Carex aquatilis var. aquatilis","Cyperaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)SPM(N)"
"CAAQS","","Carex aquatilis var. stans","Cyperaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)GL(N)"
"CAAR13","","Carex arapahoensis","Cyperaceae","Perennial","Graminoid","L48(N)"
"CAAT2","","Carex atherodes","Cyperaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)"
"CAAT3","","Carex athrostachya","Cyperaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)"
