"Accepted Symbol","Synonym Symbol","Scientific Name","Family","Duration","Growth Habit","Native Status"
"OELO","","Oenothera longissima","Onagraceae","Biennial, Perennial","Forb/herb","L48(N)"
"OENU","","Oenothera nuttallii","Onagraceae","Perennial","Forb/herb","L48(N)CAN(N)"
"OEPA","","Oenothera pallida","Onagraceae","Biennial, Perennial","Forb/herb","L48(N)CAN(N)"
"OEPAP","","Oenothera pallida ssp. pallida","Onagraceae","Perennial","Forb/herb","L48(N)CAN(N)"
"OEPAR","","Oenothera pallida ssp. runcinata","Onagraceae","Perennial","Forb/herb","L48(N)"
"OEPAT","","Oenothera pallida ssp. trichocalyx","Onagraceae","Biennial, Perennial","Forb/herb","L48(N)"
"OESU3","","Oenothera suffrutescens","Onagraceae","Perennial","Forb/herb, Subshrub","L48(N)CAN(N)"
"OEVI","","Oenothera villosa","Onagraceae","Perennial, Biennial","Forb/herb","L48(N)CAN(N)SPM(N)"
"OEVIS","","Oenothera villosa ssp. strigosa","Onagraceae","Biennial, Perennial","Forb/herb","L48(N)CAN(N)"
"OEVIV","","Oenothera villosa ssp. villosa","Onagraceae","Perennial, Biennial","Forb/herb","L48(N)CAN(N)SPM(N)"
"OLIGO3","","Oligoneuron","Asteraceae","","","L48(N)CAN(N)"
"OLAL2","","Oligoneuron album","Asteraceae","Perennial","Forb/herb","L48(N)CAN(N)"
"OLRI","","Oligoneuron rigidum","Asteraceae","Perennial","Forb/herb","L48(N)CAN(N)"
"OLRIH","","Oligoneuron rigidum var. humile","Asteraceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ONOBR","","Onobrychis","Fabaceae","","","L48(I)CAN(I)"
"ONVI","","Onobrychis viciifolia","Fabaceae","Perennial","Forb/herb","L48(I)AK(I)CAN(I)"
"ONOCL","","Onoclea","Dryopteridaceae","","","L48(N)CAN(N)SPM(N)"
"ONSE","","Onoclea sensibilis","Dryopteridaceae","Perennial","Forb/herb","L48(N)CAN(N)SPM(N)"
"ONOPO","","Onopordum","Asteraceae","","","L48(I)CAN(W)"
"ONAC","","Onopordum acanthium","Asteraceae","Biennial","Forb/herb","L48(I)CAN(W)"
"ONTA","","Onopordum tauricum","Asteraceae","Biennial","Forb/herb","L48(I)"
"ONOSM","","Onosmodium","Boraginaceae","","","L48(N)CAN(N)"
"ONBE","","Onosmodium bejariense","Boraginaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"ONBEO","","Onosmodium bejariense var. occidentale","Boraginaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"OONOP","","Oonopsis","Asteraceae","","","L48(N)"
"OOEN","","Oonopsis engelmannii","Asteraceae","Perennial","Subshrub, Forb/herb","L48(N)"
"OOFO","","Oonopsis foliosa","Asteraceae","Perennial","Forb/herb, Subshrub","L48(N)"
"OOFOF","","Oonopsis foliosa var. foliosa","Asteraceae","Perennial","Subshrub, Forb/herb","L48(N)"
"OOFOM","","Oonopsis foliosa var. monocephala","Asteraceae","Perennial","Forb/herb, Subshrub","L48(N)"
"OPUNT","","Opuntia","Cactaceae","","","L48(I,N)CAN(N)"
"OPCY","","Opuntia cymochila","Cactaceae","Perennial","Shrub","L48(N)"
"OPFR","","Opuntia fragilis","Cactaceae","Perennial","Shrub","L48(N)CAN(N)"
"OPHU","","Opuntia humifusa","Cactaceae","Perennial","Shrub","L48(N)CAN(N)"
"OPMA2","","Opuntia macrorhiza","Cactaceae","Perennial","Shrub","L48(N)"
"OPMAM3","","Opuntia macrorhiza var. macrorhiza","Cactaceae","Perennial","Shrub","L48(N)"
"OPPH","","Opuntia phaeacantha","Cactaceae","Perennial","Shrub","L48(N)"
"OPPO","","Opuntia polyacantha","Cactaceae","Perennial","Shrub","L48(N)CAN(N)"
"OPPOE","","Opuntia polyacantha var. erinacea","Cactaceae","Perennial","Shrub","L48(N)"
"OPPOP","","Opuntia polyacantha var. polyacantha","Cactaceae","Perennial","Shrub","L48(N)CAN(N)"
"OREOC","","Oreochrysum","Asteraceae","","","L48(N)"
"ORPA3","","Oreochrysum parryi","Asteraceae","Perennial","Forb/herb","L48(N)"
"OREOX","","Oreoxis","Apiaceae","","","L48(N)"
"ORAL","","Oreoxis alpina","Apiaceae","Perennial","Forb/herb","L48(N)"
"ORALA","","Oreoxis alpina ssp. alpina","Apiaceae","Perennial","Forb/herb","L48(N)"
"ORALP","","Oreoxis alpina ssp. puberulenta","Apiaceae","Perennial","Forb/herb","L48(N)"
"ORBA","","Oreoxis bakeri","Apiaceae","Perennial","Forb/herb","L48(N)"
"ORHU","","Oreoxis humilis","Apiaceae","Perennial","Forb/herb","L48(N)"
"OROBA","","Orobanche","Orobanchaceae","","","L48(I,N)CAN(N,W)SPM(N)"
"ORFA","","Orobanche fasciculata","Orobanchaceae","Annual","Forb/herb","L48(N)AK(N)CAN(N)"
"ORLU","","Orobanche ludoviciana","Orobanchaceae","Annual","Forb/herb","L48(N)CAN(N)"
"ORLUL2","","Orobanche ludoviciana ssp. ludoviciana","Orobanchaceae","Annual","Forb/herb","L48(N)CAN(N)"
"ORLUM","","Orobanche ludoviciana ssp. multiflora","Orobanchaceae","Annual","Forb/herb","L48(N)"
"ORRI","","Orobanche riparia","Orobanchaceae","Annual","Forb/herb","L48(N)"
"ORUN","","Orobanche uniflora","Orobanchaceae","Annual","Forb/herb","L48(N)AK(N)CAN(N)SPM(N)"
"OROGE","","Orogenia","Apiaceae","","","L48(N)"
"ORLI","","Orogenia linearifolia","Apiaceae","Perennial","Forb/herb","L48(N)"
"ORTHI","","Orthilia","Pyrolaceae","","","L48(N)CAN(N)GL(N)SPM(N)"
"ORSE","","Orthilia secunda","Pyrolaceae","Perennial","Subshrub","L48(N)AK(N)CAN(N)GL(N)SPM(N)"
"ORTHO","","Orthocarpus","Scrophulariaceae","","","L48(N)CAN(N)"
"ORLU2","","Orthocarpus luteus","Scrophulariaceae","Annual","Forb/herb","L48(N)CAN(N)"
"ORPU2","","Orthocarpus purpureoalbus","Scrophulariaceae","Annual","Forb/herb","L48(N)"
"ORYZO","","Oryzopsis","Poaceae","","","L48(N)CAN(N)"
"ORAS","","Oryzopsis asperifolia","Poaceae","Perennial","Graminoid","L48(N)CAN(N)"
"OSMOR","","Osmorhiza","Apiaceae","","","L48(N)CAN(N)"
"OSBE","","Osmorhiza berteroi","Apiaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"OSDE","","Osmorhiza depauperata","Apiaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"OSLO","","Osmorhiza longistylis","Apiaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"OSOC","","Osmorhiza occidentalis","Apiaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"OXALI","","Oxalis","Oxalidaceae","","","L48(I,N)CAN(I,N)SPM(N)"
"OXAL","","Oxalis albicans","Oxalidaceae","Perennial","Forb/herb, Subshrub","L48(N)"
"OXALA","","Oxalis albicans ssp. albicans","Oxalidaceae","Perennial","Subshrub, Forb/herb","L48(N)"
"OXDI2","","Oxalis dillenii","Oxalidaceae","Perennial","Forb/herb","L48(N)CAN(I)"
"OXST","","Oxalis stricta","Oxalidaceae","Perennial","Forb/herb","L48(N)CAN(I)"
"OXVI","","Oxalis violacea","Oxalidaceae","Perennial","Forb/herb","L48(N)PR(I)"
"OXYPO","","Oxypolis","Apiaceae","","","L48(N)CAN(N)"
"OXFE","","Oxypolis fendleri","Apiaceae","Perennial","Forb/herb","L48(N)"
"OXYRI","","Oxyria","Polygonaceae","","","L48(N)CAN(N)GL(N)"
"OXDI3","","Oxyria digyna","Polygonaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)GL(N)"
"OXYTE3","","Oxytenia","Asteraceae","","","L48(N)"
