"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Common Name","Family"
"IPAGF","GIAGF","GIAGF","Gilia aggregata ssp. formosissima","",""
"IPAGF","GIAGM","GIAGM","Gilia aggregata var. maculata","",""
"IPAGF","GITE7","GITE7","Gilia texana","",""
"IPAGF","IPAGT","IPAGT","Ipomopsis aggregata ssp. texana","",""
"IPAGF","IPAGT2","IPAGT2","Ipomopsis aggregata var. texana","",""
"IPAGF","IPART","IPART","Ipomopsis arizonica ssp. texana","",""
"IPAGW","","IPAGW","Ipomopsis aggregata ssp. weberi","scarlet gilia","Polemoniaceae"
"IPAGW","IPAGW2","IPAGW2","Ipomopsis aggregata var. weberi","",""
"IPCO5","","IPCO5","Ipomopsis congesta","ballhead ipomopsis","Polemoniaceae"
"IPCOC3","","IPCOC3","Ipomopsis congesta ssp. congesta","ballhead ipomopsis","Polemoniaceae"
"IPCOC3","GIBU","GIBU","Gilia burleyana","",""
"IPCOC3","GICO2","GICO2","Gilia congesta","",""
"IPCOC3","GICOB","GICOB","Gilia congesta var. burleyana","",""
"IPCOC","","IPCOC","Ipomopsis congesta ssp. crebrifolia","ballhead ipomopsis","Polemoniaceae"
"IPCOC","GICOC","GICOC","Gilia congesta var. crebrifolia","",""
"IPCOC","GICR","GICR","Gilia crebrifolia","",""
"IPCOC","IPCR2","IPCR2","Ipomopsis crebrifolia","",""
"IPCOF","","IPCOF","Ipomopsis congesta ssp. frutescens","ballhead ipomopsis","Polemoniaceae"
"IPCOF","GICOF","GICOF","Gilia congesta var. frutescens","",""
"IPCOF","GIFR","GIFR","Gilia frutescens","",""
"IPCOF","IPFR","IPFR","Ipomopsis frutescens","",""
"IPGL","","IPGL","Ipomopsis globularis","Hoosier Pass ipomopsis","Polemoniaceae"
"IPGL","GIGL","GIGL","Gilia globularis","",""
"IPGU","","IPGU","Ipomopsis gunnisonii","sanddune ipomopsis","Polemoniaceae"
"IPGU","GIGU2","GIGU2","Gilia gunnisonii","",""
"IPLA2","","IPLA2","Ipomopsis laxiflora","iron ipomopsis","Polemoniaceae"
"IPLA2","GILA5","GILA5","Gilia laxiflora","",""
"IPLO2","","IPLO2","Ipomopsis longiflora","flaxflowered ipomopsis","Polemoniaceae"
"IPLOL","","IPLOL","Ipomopsis longiflora ssp. longiflora","flaxflowered ipomopsis","Polemoniaceae"
"IPLOL","GILO2","GILO2","Gilia longiflora","",""
"IPMU3","","IPMU3","Ipomopsis multiflora","manyflowered ipomopsis","Polemoniaceae"
"IPMU3","GIMU2","GIMU2","Gilia multiflora","",""
"IPPO","","IPPO","Ipomopsis polyantha","Pagosa ipomopsis","Polemoniaceae"
"IPPO","GIBR3","GIBR3","Gilia brachysiphon","",""
"IPPO","GIPO3","GIPO3","Gilia polyantha","",""
"IPPO","GIPOW","GIPOW","Gilia polyantha var. whitingii","",""
"IPPO2","","IPPO2","Ipomopsis polycladon","manybranched ipomopsis","Polemoniaceae"
"IPPO2","GIPO4","GIPO4","Gilia polycladon","",""
"IPPU4","","IPPU4","Ipomopsis pumila","dwarf ipomopsis","Polemoniaceae"
"IPPU4","GIPU3","GIPU3","Gilia pumila","",""
"IPRA","","IPRA","Ipomopsis ramosa","coral ipomopsis","Polemoniaceae"
"IPRO","","IPRO","Ipomopsis roseata","rosy ipomopsis","Polemoniaceae"
"IPRO","GIRO2","GIRO2","Gilia roseata","",""
"IPSP","","IPSP","Ipomopsis spicata","spiked ipomopsis","Polemoniaceae"
"IPSPC","","IPSPC","Ipomopsis spicata ssp. capitata","spiked ipomopsis","Polemoniaceae"
"IPSPC","GISPC2","GISPC2","Gilia spicata var. capitata","",""
"IPSPS","","IPSPS","Ipomopsis spicata ssp. spicata","spiked ipomopsis","Polemoniaceae"
"IPSPS","GISP4","GISP4","Gilia spicata","",""
"IPTE4","","IPTE4","Ipomopsis tenuituba","slendertube skyrocket","Polemoniaceae"
"IPTET2","","IPTET2","Ipomopsis tenuituba ssp. tenuituba","slendertube skyrocket","Polemoniaceae"
"IPTET2","GITE8","GITE8","Gilia tenuituba","",""
"IPTET2","IPAGT3","IPAGT3","Ipomopsis aggregata var. tenuituba","",""
"IPTET2","IPAGT4","IPAGT4","Ipomopsis aggregata var. tenuituba","",""
"IRIS","","IRIS","Iris","iris","Iridaceae"
"IRMI","","IRMI","Iris missouriensis","Rocky Mountain iris","Iridaceae"
"IRMI","IRLO","IRLO","Iris longipetala","",""
"IRMI","IRMIA","IRMIA","Iris missouriensis var. arizonica","",""
"IRMI","IRMIP","IRMIP","Iris missouriensis var. pelogonus","",""
"IRMI","IRPA5","IRPA5","Iris pariensis","",""
"IRMI","IRTO","IRTO","Iris tolmieana","",""
"ISATI","","ISATI","Isatis","woad","Brassicaceae"
"ISTI","","ISTI","Isatis tinctoria","Dyer's woad","Brassicaceae"
"ISOCO","","ISOCO","Isocoma","goldenbush","Asteraceae"
"ISPL","","ISPL","Isocoma pluriflora","southern goldenbush","Asteraceae"
"ISPL","HAHE2","HAHE2","Haplopappus heterophyllus","",""
"ISPL","HAPL","HAPL","Haplopappus pluriflorus","",""
"ISPL","ISWR","ISWR","Isocoma wrightii","",""
"ISRU2","","ISRU2","Isocoma rusbyi","Rusby's goldenbush","Asteraceae"
"ISRU2","HARU","HARU","Haplopappus rusbyi","",""
"ISOET","","ISOET","Isoetes","quillwort","Isoetaceae"
"ISBO","","ISBO","Isoetes bolanderi","Bolander's quillwort","Isoetaceae"
"ISBO","ISBOP","ISBOP","Isoetes bolanderi var. pygmaea","",""
"ISBO","ISPY2","ISPY2","Isoetes pygmaea","",""
"ISOC","","ISOC","Isoetes occidentalis","western quillwort","Isoetaceae"
"ISOC","ISFL2","ISFL2","Isoetes flettii","",""
"ISOC","ISLAP","ISLAP","Isoetes lacustris var. paupercula","",""
"ISOC","ISLAP2","ISLAP2","Isoetes lacustris ssp. paupercula","",""
"ISOC","ISPA2","ISPA2","Isoetes paupercula","",""
"ISOC","ISPI2","ISPI2","Isoetes piperi","",""
"ISTE5","","ISTE5","Isoetes tenella","spiny-spore quillwort","Isoetaceae"
"ISTE5","ISBR4","ISBR4","Isoetes braunii","",""
"ISTE5","ISEC","ISEC","Isoetes echinospora","",""
"ISTE5","ISECA","ISECA","Isoetes echinospora ssp. asiatica","",""
"ISTE5","ISECA2","ISECA2","Isoetes echinospora var. asiatica","",""
"ISTE5","ISECB","ISECB","Isoetes echinospora var. braunii","",""
"ISTE5","ISECH","ISECH","Isoetes echinospora var. hesperia","",""
"ISTE5","ISECM","ISECM","Isoetes echinospora ssp. muricata","",""
"ISTE5","ISECM2","ISECM2","Isoetes echinospora var. muricata","",""
"ISTE5","ISECR","ISECR","Isoetes echinospora var. robusta","",""
"ISTE5","ISECS","ISECS","Isoetes echinospora var. savilei","",""
"ISTE5","ISMU2","ISMU2","Isoetes muricata","",""
"ISTE5","ISMUB","ISMUB","Isoetes muricata var. braunii","",""
"ISTE5","ISMUH2","ISMUH2","Isoetes muricata var. hesperia","",""
"ISTE5","ISSE4","ISSE4","Isoetes setacea","",""
"ISTE5","ISSEM","ISSEM","Isoetes setacea ssp. muricata","",""
"IVA","","IVA","Iva","marsh elder","Asteraceae"
"IVAN2","","IVAN2","Iva annua","annual marsh elder","Asteraceae"
"IVANA","","IVANA","Iva annua var. annua","annual marsh elder","Asteraceae"
"IVANA","IVCI2","IVCI2","Iva ciliata","",""
"IVAX","","IVAX","Iva axillaris","povertyweed","Asteraceae"
"IVAX","IVAXR","IVAXR","Iva axillaris ssp. robustior","",""
"IVAX","IVAXR2","IVAXR2","Iva axillaris var. robustior","",""
"IVESI","","IVESI","Ivesia","mousetail","Rosaceae"
"IVGO","","IVGO","Ivesia gordonii","Gordon's ivesia","Rosaceae"
"IVGO","HOGO","HOGO","Horkelia gordonii","",""
"IVGO","POGO","POGO","Potentilla gordonii","",""
"JAMES","","JAMES","Jamesia","cliffbush","Hydrangeaceae"
"JAAM","","JAAM","Jamesia americana","fivepetal cliffbush","Hydrangeaceae"
"JAAMA","","JAAMA","Jamesia americana var. americana","fivepetal cliffbush","Hydrangeaceae"
"JUGLA","","JUGLA","Juglans","walnut","Juglandaceae"
"JUNI","","JUNI","Juglans nigra","black walnut","Juglandaceae"
"JUNI","WANI","WANI","Wallia nigra","",""
"JUNCU","","JUNCU","Juncus","rush","Juncaceae"
"JUAC","","JUAC","Juncus acuminatus","tapertip rush","Juncaceae"
"JUAL2","","JUAL2","Juncus albescens","northern white rush","Juncaceae"
"JUAL2","JUTRA","JUTRA","Juncus triglumis ssp. albescens","",""
"JUAL2","JUTRA2","JUTRA2","Juncus triglumis var. albescens","",""
"JUAL4","","JUAL4","Juncus alpinoarticulatus","northern green rush","Juncaceae"
"JUALN","","JUALN","Juncus alpinoarticulatus ssp. nodulosus","northern green rush","Juncaceae"
"JUALN","JUAL","JUAL","Juncus alpinus","",""
"JUALN","JUALA2","JUALA2","Juncus alpinoarticulatus ssp. americanus","",""
"JUALN","JUALF","JUALF","Juncus alpinus var. fuscescens","",""
"JUALN","JUALF2","JUALF2","Juncus alpinoarticulatus ssp. fuscescens","",""
"JUALN","JUALN2","JUALN2","Juncus alpinus ssp. nodulosus","",""
"JUALN","JUALR","JUALR","Juncus alpinus var. rariflorus","",""
"JUALN","JUALU","JUALU","Juncus alpinus var. uniceps","",""
"JUALN","JURI2","JURI2","Juncus richardsonianus","",""
"JUAM3","","JUAM3","Juncus ambiguus","seasice rush","Juncaceae"
"JUAM3","JUBUH","JUBUH","Juncus bufonius var. halophilus","",""
"JUAM3","JUBUR","JUBUR","Juncus bufonius var. ranarius","",""
"JUAM3","JURA","JURA","Juncus ranarius","",""
"JUAR2","","JUAR2","Juncus arcticus","arctic rush","Juncaceae"
"JUARL","","JUARL","Juncus arcticus ssp. littoralis","mountain rush","Juncaceae"
"JUARL","JUARA4","JUARA4","Juncus arcticus ssp. ater","",""
"JUARL","JUARB4","JUARB4","Juncus arcticus ssp. balticus","",""
"JUARL","JUARB5","JUARB5","Juncus arcticus var. balticus","",""
"JUARL","JUARL2","JUARL2","Juncus arcticus var. littoralis","",""
"JUARL","JUARM","JUARM","Juncus arcticus var. montanus","",""
"JUARL","JUAT","JUAT","Juncus ater","",""
"JUARL","JUBA","JUBA","Juncus balticus","",""
"JUARL","JUBAB2","JUBAB2","Juncus balticus var. balticus","",""
"JUARL","JUBAL","JUBAL","Juncus balticus var. littoralis","",""
"JUARL","JUBAM","JUBAM","Juncus balticus var. montanus","",""
"JUARL","JUBAM4","JUBAM4","Juncus balticus var. melanogenus","",""
"JUARL","JUBAS2","JUBAS2","Juncus balticus var. stenocarpus","",""
"JUARL","JUBAV","JUBAV","Juncus balticus var. vallicola","",""
"JUAR4","","JUAR4","Juncus articulatus","jointleaf rush","Juncaceae"
"JUAR4","JUARO","JUARO","Juncus articulatus var. obtusatus","",""
"JUBI2","","JUBI2","Juncus biglumis","twoflowered rush","Juncaceae"
"JUBR2","","JUBR2","Juncus brachycephalus","smallhead rush","Juncaceae"
"JUBR4","","JUBR4","Juncus brevicaudatus","narrowpanicle rush","Juncaceae"
"JUBR5","","JUBR5","Juncus bryoides","moss rush","Juncaceae"
"JUBU","","JUBU","Juncus bufonius","toad rush","Juncaceae"
"JUBUB","","JUBUB","Juncus bufonius var. bufonius","toad rush","Juncaceae"
"JUBUO","","JUBUO","Juncus bufonius var. occidentalis","toad rush","Juncaceae"
"JUBUO","JUSP","JUSP","Juncus sphaerocarpus","",""
"JUCA6","","JUCA6","Juncus castaneus","chestnut rush","Juncaceae"
"JUCAC2","","JUCAC2","Juncus castaneus ssp. castaneus","chestnut rush","Juncaceae"
"JUCAC6","","JUCAC6","Juncus castaneus ssp. castaneus var. castaneus","chestnut rush","Juncaceae"
"JUCO","","JUCO","Juncus compressus","roundfruit rush","Juncaceae"
"JUCO2","","JUCO2","Juncus confusus","Colorado rush","Juncaceae"
"JUCO2","JUEX","JUEX","Juncus exilis","",""
"JUDI","","JUDI","Juncus dichotomus","forked rush","Juncaceae"
"JUDI","JUDIP","JUDIP","Juncus dichotomus var. platyphyllus","",""
"JUDI","JUPL2","JUPL2","Juncus platyphyllus","",""
"JUDI","JUTED2","JUTED2","Juncus tenuis var. dichotomus","",""
"JUDI","JUTEP","JUTEP","Juncus tenuis var. platyphyllus","",""
"JUDR","","JUDR","Juncus drummondii","Drummond's rush","Juncaceae"
"JUDRD","","JUDRD","Juncus drummondii var. drummondii","Drummond's rush","Juncaceae"
"JUDRS","","JUDRS","Juncus drummondii var. subtriflorus","threeflower rush","Juncaceae"
"JUDRS","JUDRL","JUDRL","Juncus drummondii var. logifructus","",""
"JUDU2","","JUDU2","Juncus dudleyi","Dudley's rush","Juncaceae"
"JUDU2","JUTED","JUTED","Juncus tenuis var. dudleyi","",""
"JUDU2","JUTEU","JUTEU","Juncus tenuis var. uniflorus","",""
"JUEF","","JUEF","Juncus effusus","common rush","Juncaceae"
"JUEFS","","JUEFS","Juncus effusus var. solutus","lamp rush","Juncaceae"
"JUEFS","JUEFS3","JUEFS3","Juncus effusus ssp. solutus","",""
"JUEFS","JUGR2","JUGR2","Juncus griscomii","",""
"JUEN","","JUEN","Juncus ensifolius","swordleaf rush","Juncaceae"
"JUEN","JUENM","JUENM","Juncus ensifolius var. major","",""
"JUEN","JUXIT","JUXIT","Juncus xiphioides var. triandrus","",""
"JUFI","","JUFI","Juncus filiformis","thread rush","Juncaceae"
"JUGE","","JUGE","Juncus gerardii","saltmeadow rush","Juncaceae"
"JUGEG","","JUGEG","Juncus gerardii var. gerardii","saltmeadow rush","Juncaceae"
"JUHA","","JUHA","Juncus hallii","Hall's rush","Juncaceae"
"JUIN2","","JUIN2","Juncus interior","inland rush","Juncaceae"
"JUINI","","JUINI","Juncus interior var. interior","inland rush","Juncaceae"
"JUINN","","JUINN","Juncus interior var. neomexicanus","New Mexico rush","Juncaceae"
"JUINN","JUNE2","JUNE2","Juncus neomexicanus","",""
"JULO","","JULO","Juncus longistylis","longstyle rush","Juncaceae"
"JULOL","","JULOL","Juncus longistylis var. longistylis","longstyle rush","Juncaceae"
"JUMA4","","JUMA4","Juncus marginatus","grassleaf rush","Juncaceae"
"JUMA4","JUMAM2","JUMAM2","Juncus marginatus var. marginatus","",""
"JUMA4","JUMAS","JUMAS","Juncus marginatus var. setosus","",""
"JUMA4","JUSE4","JUSE4","Juncus setosus","",""
"JUME3","","JUME3","Juncus mertensianus","Mertens' rush","Juncaceae"
"JUME3","JUSL","JUSL","Juncus slwookoorum","",""
"JUME4","","JUME4","Juncus mexicanus","Mexican rush","Juncaceae"
"JUME4","JUBAM3","JUBAM3","Juncus balticus var. mexicanus","",""
"JUNE","","JUNE","Juncus nevadensis","Sierra rush","Juncaceae"
"JUNEB","","JUNEB","Juncus nevadensis var. badius","Sierra rush","Juncaceae"
"JUNEB","JUBA2","JUBA2","Juncus badius","",""
"JUNEB","JUMEB","JUMEB","Juncus mertensianus var. badius","",""
"JUNEN","","JUNEN","Juncus nevadensis var. nevadensis","Sierra rush","Juncaceae"
"JUNEN","JUMEG","JUMEG","Juncus mertensianus ssp. gracilis","",""
"JUNO2","","JUNO2","Juncus nodosus","knotted rush","Juncaceae"
"JUNON","","JUNON","Juncus nodosus var. nodosus","knotted rush","Juncaceae"
"JUPA","","JUPA","Juncus parryi","Parry's rush","Juncaceae"
"JUSA","","JUSA","Juncus saximontanus","Rocky Mountain rush","Juncaceae"
"JUSA","JUENB","JUENB","Juncus ensifolius var. brunnescens","",""
"JUSA","JUENM2","JUENM2","Juncus ensifolius var. montanus","",""
"JUSA","JUSAR","JUSAR","Juncus saximontanus var. robustior","",""
"JUSA","JUXIM","JUXIM","Juncus xiphioides var. macranthus","",""
"JUSA","JUXIM2","JUXIM2","Juncus xiphioides var. montanus","",""
"JUTE","","JUTE","Juncus tenuis","poverty rush","Juncaceae"
"JUTE","JUMA7","JUMA7","Juncus macer","",""
"JUTE","JUTEM","JUTEM","Juncus tenuis var. multicornis","",""
"JUTE","JUTEW","JUTEW","Juncus tenuis var. williamsii","",""
"JUTO","","JUTO","Juncus torreyi","Torrey's rush","Juncaceae"
"JUTR","","JUTR","Juncus tracyi","Tracy's rush","Juncaceae"
"JUTR4","","JUTR4","Juncus triglumis","three-hulled rush","Juncaceae"
"JUTW","","JUTW","Juncus tweedyi","Tweedy's rush","Juncaceae"
"JUVA","","JUVA","Juncus vaseyi","Vasey's rush","Juncaceae"
"JUVA","JUGRV","JUGRV","Juncus greenei var. vaseyi","",""
"JUNIP","","JUNIP","Juniperus","juniper","Cupressaceae"
"JUCO6","","JUCO6","Juniperus communis","common juniper","Cupressaceae"
"JUCOD","","JUCOD","Juniperus communis var. depressa","common juniper","Cupressaceae"
"JUCOD","JUCA13","JUCA13","Juniperus canadensis","",""
"JUCOD","JUCOD2","JUCOD2","Juniperus communis ssp. depressa","",""
"JUCOD","JUDE4","JUDE4","Juniperus depressa","",""
"JUMO","","JUMO","Juniperus monosperma","oneseed juniper","Cupressaceae"
"JUMO","JUOCG","JUOCG","Juniperus occidentalis var. gymnocarpa","",""
"JUMO","SAMO8","SAMO8","Sabina monosperma","",""
"JUMOM","","JUMOM","Juniperus monosperma var. monosperma","oneseed juniper","Cupressaceae"
"JUOS","","JUOS","Juniperus osteosperma","Utah juniper","Cupressaceae"
"JUOS","JUCAO","JUCAO","Juniperus californica ssp. osteosperma","",""
"JUOS","JUCAO2","JUCAO2","Juniperus californica var. osteosperma","",""
"JUOS","JUCAU","JUCAU","Juniperus californica var. utahensis","",""
"JUOS","JUKN","JUKN","Juniperus knightii","",""
"JUOS","JUME7","JUME7","Juniperus megalocarpa","",""
"JUOS","JUMOK","JUMOK","Juniperus monosperma var. knightii","",""
"JUOS","JUOCU","JUOCU","Juniperus occidentalis var. utahensis","",""
"JUOS","JUUT","JUUT","Juniperus utahensis","",""
"JUOS","JUUTM","JUUTM","Juniperus utahensis var. megalocarpa","",""
"JUOS","SAOS","SAOS","Sabina osteosperma","",""
"JUOS","SAUT3","SAUT3","Sabina utahensis","",""
"JUSC2","","JUSC2","Juniperus scopulorum","Rocky Mountain juniper","Cupressaceae"
"JUSC2","JUSCC2","JUSCC2","Juniperus scopulorum var. columnaris","",""
"JUSC2","JUVIM","JUVIM","Juniperus virginiana var. montana","",""
"JUSC2","JUVIS2","JUVIS2","Juniperus virginiana ssp. scopulorum","",""
"JUSC2","JUVIS4","JUVIS4","Juniperus virginiana var. scopulorum","",""
"JUSC2","SASC5","SASC5","Sabina scopulorum","",""
"JUVI","","JUVI","Juniperus virginiana","eastern redcedar","Cupressaceae"
"JUVIV","","JUVIV","Juniperus virginiana var. virginiana","eastern redcedar","Cupressaceae"
"JUVIV","JUVIC","JUVIC","Juniperus virginiana ssp. crebra","",""
"JUVIV","JUVIC2","JUVIC2","Juniperus virginiana var. crebra","",""
"JUVIV","SAVI11","SAVI11","Sabina virginiana","",""
"KALLS","","KALLS","Kallstroemia","caltrop","Zygophyllaceae"
"KAPA","","KAPA","Kallstroemia parviflora","warty caltrop","Zygophyllaceae"
"KAPA","KAIN3","KAIN3","Kallstroemia intermedia","",""
"KALMI","","KALMI","Kalmia","laurel","Ericaceae"
"KAMI","","KAMI","Kalmia microphylla","alpine laurel","Ericaceae"
"KAMI","KAMIO","KAMIO","Kalmia microphylla ssp. occidentalis","",""
"KAMI","KAMIO2","KAMIO2","Kalmia microphylla var. occidentalis","",""
"KAMI","KAOC","KAOC","Kalmia occidentalis","",""
"KAMI","KAPOM2","KAPOM2","Kalmia polifolia var. microphylla","",""
"KAMI","KAPOM3","KAPOM3","Kalmia polifolia ssp. microphylla","",""
"KAMI","KAPOO","KAPOO","Kalmia polifolia ssp. occidentalis","",""
"KNAUT","","KNAUT","Knautia","scabiosa","Dipsacaceae"
"KNAR","","KNAR","Knautia arvensis","field scabiosa","Dipsacaceae"
"KNAR","SCAR6","SCAR6","Scabiosa arvensis","",""
"KOBRE","","KOBRE","Kobresia","bog sedge","Cyperaceae"
"KOMY","","KOMY","Kobresia myosuroides","Bellardi bog sedge","Cyperaceae"
"KOMY","ELBE3","ELBE3","Elyna bellardii","",""
"KOMY","KOBE","KOBE","Kobresia bellardii","",""
"KOSI","","KOSI","Kobresia sibirica","Siberian bog sedge","Cyperaceae"
"KOSI","ELSI6","ELSI6","Elyna sibirica","",""
"KOSI","KOBEM","KOBEM","Kobresia bellardii var. macrocarpa","",""
"KOSI","KOHY","KOHY","Kobresia hyperborea","",""
"KOSI","KOHYA","KOHYA","Kobresia hyperborea var. alaskana","",""
"KOSI","KOMA3","KOMA3","Kobresia macrocarpa","",""
"KOSI","KOSC2","KOSC2","Kobresia schoenoides","",""
"KOSI","KOSCL","KOSCL","Kobresia schoenoides var. lepagei","",""
"KOSI2","","KOSI2","Kobresia simpliciuscula","simple bog sedge","Cyperaceae"
"KOSI2","CABI10","CABI10","Carex bipartita","",""
"KOSI2","KOBI","KOBI","Kobresia bipartita","",""
"KOSI2","KOSIA","KOSIA","Kobresia simpliciuscula var. americana","",""
"KOELE","","KOELE","Koeleria","Junegrass","Poaceae"
"KOMA","","KOMA","Koeleria macrantha","prairie Junegrass","Poaceae"
"KOMA","KOAL5","KOAL5","Koeleria albescens","",""
"KOMA","KOCR","KOCR","Koeleria cristata","",""
"KOMA","KOCRL","KOCRL","Koeleria cristata var. longifolia","",""
"KOMA","KOCRP","KOCRP","Koeleria cristata var. pinetorum","",""
"KOMA","KOGR2","KOGR2","Koeleria gracilis","",""
"KOMA","KONI","KONI","Koeleria nitida","",""
"KOMA","KOPY","KOPY","Koeleria pyramidata","",""
"KOMA","KOYU","KOYU","Koeleria yukonensis","",""
"KOENI","","KOENI","Koenigia","koenigia","Polygonaceae"
"KOIS","","KOIS","Koenigia islandica","island purslane","Polygonaceae"
"KOIS","MAIS","MAIS","Macounastrum islandicum","",""
"KOLKW","","KOLKW","Kolkwitzia","kolkwitzia","Caprifoliaceae"
"KOAM80","","KOAM80","Kolkwitzia amabilis","beautybush","Caprifoliaceae"
"KRAME","","KRAME","Krameria","ratany","Krameriaceae"
"KRLA","","KRLA","Krameria lanceolata","trailing krameria","Krameriaceae"
"KRLA","KRSE","KRSE","Krameria secundiflora","",""
"KRLA","KRSP","KRSP","Krameria spathulata","",""
"KRASC","","KRASC","Krascheninnikovia","winterfat","Chenopodiaceae"
"KRLA2","","KRLA2","Krascheninnikovia lanata","winterfat","Chenopodiaceae"
"KRLA2","CELA4","CELA4","Ceratoides lanata","",""
"KRLA2","CELAR2","CELAR2","Ceratoides lanata var. ruinina","",""
"KRLA2","CELAS2","CELAS2","Ceratoides lanata var. subspinosa","",""
"KRLA2","EULA5","EULA5","Eurotia lanata","",""
"KRLA2","EULAS","EULAS","Eurotia lanata var. subspinosa","",""
"KRIGI","","KRIGI","Krigia","dwarfdandelion","Asteraceae"
"KRBI","","KRBI","Krigia biflora","twoflower dwarfdandelion","Asteraceae"
"KRBIB","","KRBIB","Krigia biflora var. biflora","twoflower dwarfdandelion","Asteraceae"
"KRBIB","CYVI13","CYVI13","Cynthia virginica","",""
"KRBIB","HYBI5","HYBI5","Hyoseris biflora","",""
"KRBIB","KRAM","KRAM","Krigia amplexicaulis","",""
"KRBIB","KRBIG","KRBIG","Krigia biflora ssp. glandulifera","",""
"LACTU","","LACTU","Lactuca","lettuce","Asteraceae"
"LABI","","LABI","Lactuca biennis","tall blue lettuce","Asteraceae"
"LABI","LASP4","LASP4","Lactuca spicata","",""
"LABI","LASPI","LASPI","Lactuca spicata var. integrifolia","",""
"LABI","MUSP2","MUSP2","Mulgedium spicatum","",""
"LABI","MUSPI","MUSPI","Mulgedium spicatum var. integrifolium","",""
"LACA","","LACA","Lactuca canadensis","Canada lettuce","Asteraceae"
"LACA","LACAI","LACAI","Lactuca canadensis var. integrifolia","",""
"LACA","LACAL","LACAL","Lactuca canadensis var. latifolia","",""
"LACA","LACAL2","LACAL2","Lactuca canadensis var. longifolia","",""
"LACA","LACAO","LACAO","Lactuca canadensis var. obovata","",""
"LACA","LACAT","LACAT","Lactuca canadensis var. typica","",""
"LACA","LASA4","LASA4","Lactuca sagittifolia","",""
"LACA","LAST8","LAST8","Lactuca steelei","",""
"LAGR","","LAGR","Lactuca graminifolia","grassleaf lettuce","Asteraceae"
"LAGRA","","LAGRA","Lactuca graminifolia var. arizonica","grassleaf lettuce","Asteraceae"
"LALU","","LALU","Lactuca ludoviciana","biannual lettuce","Asteraceae"
"LALU","LACA6","LACA6","Lactuca campestris","",""
"LALU","LACAT2","LACAT2","Lactuca campestris var. typica","",""
"LASE","","LASE","Lactuca serriola","prickly lettuce","Asteraceae"
"LASE","LASC6","LASC6","Lactuca scariola","",""
"LATA","","LATA","Lactuca tatarica","blue lettuce","Asteraceae"
"LATAP","","LATAP","Lactuca tatarica var. pulchella","blue lettuce","Asteraceae"
"LATAP","LAOB2","LAOB2","Lactuca oblongifolia","",""
"LATAP","LAPU","LAPU","Lactuca pulchella","",""
"LATAP","LATAH","LATAH","Lactuca tatarica var. heterophylla","",""
"LATAP","LATAP2","LATAP2","Lactuca tatarica ssp. pulchella","",""
"LATAP","MUPU3","MUPU3","Mulgedium pulchellum","",""
"LATAP","SOTA","SOTA","Sonchus tataricus","",""
"LAENN","","LAENN","Laennecia","horseweed","Asteraceae"
"LACO13","","LACO13","Laennecia coulteri","Coulter's horseweed","Asteraceae"
"LACO13","COCO4","COCO4","Conyza coulteri","",""
"LACO13","COCOV2","COCOV2","Conyza coulteri var. virgata","",""
"LACO13","ESCO2","ESCO2","Eschenbachia coulteri","",""
"LASC3","","LASC3","Laennecia schiedeana","pineland horseweed","Asteraceae"
"LASC3","COSC3","COSC3","Conyza schiedeana","",""
"LASC3","ERSC10","ERSC10","Erigeron schiedeanus","",""
"LASC3","LEIN8","LEIN8","Leptilon integrifolium","",""
"LAMIU","","LAMIU","Lamium","deadnettle","Lamiaceae"
"LAAM","","LAAM","Lamium amplexicaule","henbit deadnettle","Lamiaceae"
"LAAM","LAAMA","LAAMA","Lamium amplexicaule var. album","",""
"LAPU2","","LAPU2","Lamium purpureum","purple deadnettle","Lamiaceae"
"LAPUP","","LAPUP","Lamium purpureum var. purpureum","purple deadnettle","Lamiaceae"
"LAPPU","","LAPPU","Lappula","stickseed","Boraginaceae"
"LAMA9","","LAMA9","Lappula marginata","margined stickseed","Boraginaceae"
"LAMA9","LAPA12","LAPA12","Lappula patula","",""
"LAOC3","","LAOC3","Lappula occidentalis","flatspine stickseed","Boraginaceae"
"LAOCC","","LAOCC","Lappula occidentalis var. cupulata","flatspine stickseed","Boraginaceae"
"LAOCC","LAREC","LAREC","Lappula redowskii var. cupulata","",""
"LAOCC","LARET","LARET","Lappula redowskii var. texana","",""
"LAOCC","LATE3","LATE3","Lappula texana","",""
"LAOCC","LATEC","LATEC","Lappula texana var. coronata","",""
"LAOCC","LATEH","LATEH","Lappula texana var. heterosperma","",""
"LAOCC","LATEH2","LATEH2","Lappula texana var. homosperma","",""
"LAOCO","","LAOCO","Lappula occidentalis var. occidentalis","flatspine stickseed","Boraginaceae"
"LAOCO","LAECO","LAECO","Lappula echinata var. occidentalis","",""
"LAOCO","LARE","LARE","Lappula redowskii","",""
"LAOCO","LARED","LARED","Lappula redowskii var. desertorum","",""
"LAOCO","LAREO","LAREO","Lappula redowskii var. occidentalis","",""
"LAOCO","LARER","LARER","Lappula redowskii var. redowskii","",""
"LASQ","","LASQ","Lappula squarrosa","European stickseed","Boraginaceae"
"LASQ","LAEC","LAEC","Lappula echinata","",""
"LASQ","LAER4","LAER4","Lappula erecta","",""
"LASQ","LAFR5","LAFR5","Lappula fremontii","",""
"LASQ","LALA11","LALA11","Lappula lappula","",""
"LASQ","LAMY3","LAMY3","Lappula myosotis","",""
